account_id,month,target_days,targeting_priority,recommended_channel,campaign_count,outstanding_amount,dpd,risk_segment,loan_type,timezone,status,calls,answered_calls,call_seconds,complaints,contact_proxy
ACC0000028,2026-06,1,2.0,WHATSAPP,1,76946.8,1,LOW,AUTO,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000029,2026-03,2,7.5,FIELD,2,397975.88,60,NPA,CREDIT_CARD,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000029,2026-04,1,9.0,VOICE,1,397975.88,60,NPA,CREDIT_CARD,Asia/Dubai,PAID,1.0,0.0,537.0,0.0,0.0
ACC0000029,2026-06,1,4.0,FIELD,1,397975.88,60,NPA,CREDIT_CARD,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000030,2026-06,1,7.0,FIELD,1,430667.35,75,LOW,PERSONAL,UTC,CLOSED,2.0,0.0,920.0,0.0,0.0
ACC0000031,2026-05,1,8.0,VOICE,1,52195.38,120,MEDIUM,CONSUMER,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000032,2026-06,1,3.0,SMS,1,163166.21,75,HIGH,PERSONAL,UTC,WRITEOFF,1.0,0.0,567.0,0.0,0.0
ACC0000032,2026-07,1,3.0,VOICE,1,163166.21,75,HIGH,PERSONAL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000036,2026-01,1,4.0,FIELD,1,43455.51,30,NPA,CREDIT_CARD,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000036,2026-07,1,1.0,VOICE,1,43455.51,30,NPA,CREDIT_CARD,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000039,2026-06,1,9.0,FIELD,1,307479.36,45,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,1.0,
ACC0000041,2026-01,1,5.0,FIELD,1,434086.27,0,MEDIUM,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000041,2026-07,1,1.0,VOICE,1,434086.27,0,MEDIUM,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000041,2026-08,1,5.0,FIELD,1,434086.27,0,MEDIUM,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000042,2026-01,1,3.0,VOICE,1,398194.73,75,HIGH,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000042,2026-06,1,6.0,WHATSAPP,1,398194.73,75,HIGH,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000042,2026-07,1,8.0,FIELD,1,398194.73,75,HIGH,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000043,2026-03,1,6.0,FIELD,1,10596.55,45,MEDIUM,PERSONAL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000043,2026-06,1,1.0,WHATSAPP,1,10596.55,45,MEDIUM,PERSONAL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000044,2026-01,1,3.0,WHATSAPP,1,93976.57,90,LOW,AUTO,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000044,2026-04,1,3.0,SMS,1,93976.57,90,LOW,AUTO,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000044,2026-05,1,5.0,WHATSAPP,1,93976.57,90,LOW,AUTO,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000044,2026-07,1,6.0,VOICE,1,93976.57,90,LOW,AUTO,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000045,2026-03,1,7.0,FIELD,1,588888.35,1,LOW,PERSONAL,Asia/Kolkata,WRITEOFF,1.0,0.0,442.0,0.0,0.0
ACC0000045,2026-05,1,5.0,WHATSAPP,1,588888.35,1,LOW,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000046,2026-01,1,3.0,SMS,1,487057.57,30,LOW,CONSUMER,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000046,2026-04,1,7.0,FIELD,1,487057.57,30,LOW,CONSUMER,Asia/Kolkata,PAID,1.0,1.0,542.0,0.0,1.0
ACC0000048,2026-04,1,4.0,SMS,1,563305.29,0,LOW,CONSUMER,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000048,2026-05,2,10.0,SMS,2,563305.29,0,LOW,CONSUMER,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000049,2026-02,1,2.0,VOICE,1,418724.32,15,MEDIUM,BNPL,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000049,2026-06,2,7.0,FIELD,2,418724.32,15,MEDIUM,BNPL,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000050,2026-07,1,8.0,VOICE,1,213884.7,15,NPA,BNPL,Asia/Dubai,CLOSED,3.0,0.0,792.0,0.0,0.0
ACC0000051,2026-01,1,2.0,WHATSAPP,1,580808.7,60,NPA,AUTO,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000052,2026-06,1,4.0,WHATSAPP,1,676258.98,60,MEDIUM,CONSUMER,UTC,PAID,0.0,0.0,0.0,0.0,
ACC0000053,2026-06,1,6.0,WHATSAPP,1,480332.44,30,LOW,PERSONAL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000054,2026-01,1,7.0,SMS,1,647780.81,15,MEDIUM,PERSONAL,UTC,PAID,1.0,0.0,48.0,0.0,0.0
ACC0000055,2026-04,1,6.0,FIELD,1,612365.44,45,LOW,AUTO,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000056,2026-07,1,3.0,SMS,1,374086.74,75,NPA,CONSUMER,Asia/Dubai,ACTIVE,1.0,0.0,4.0,0.0,0.0
ACC0000057,2026-03,1,10.0,WHATSAPP,1,318116.64,180,HIGH,PERSONAL,UTC,PAID,0.0,0.0,0.0,0.0,
ACC0000057,2026-05,1,10.0,WHATSAPP,1,318116.64,180,HIGH,PERSONAL,UTC,PAID,0.0,0.0,0.0,0.0,
ACC0000058,2026-02,1,1.0,FIELD,1,341297.86,30,MEDIUM,PERSONAL,Asia/Dubai,CLOSED,1.0,1.0,633.0,0.0,1.0
ACC0000058,2026-06,1,10.0,SMS,1,341297.86,30,MEDIUM,PERSONAL,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000061,2026-06,2,3.5,SMS,2,212611.44,60,HIGH,CREDIT_CARD,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000062,2026-03,1,6.0,VOICE,1,374609.37,1,LOW,CREDIT_CARD,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000063,2026-06,1,1.0,SMS,1,681318.89,45,LOW,AUTO,Asia/Dubai,CLOSED,1.0,1.0,363.0,0.0,1.0
ACC0000063,2026-08,1,9.0,WHATSAPP,1,681318.89,45,LOW,AUTO,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000064,2026-03,1,3.0,SMS,1,422050.66,90,MEDIUM,CREDIT_CARD,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000064,2026-05,1,2.0,FIELD,1,422050.66,90,MEDIUM,CREDIT_CARD,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000065,2026-05,1,6.0,FIELD,1,586399.27,75,MEDIUM,AUTO,UTC,CLOSED,1.0,1.0,862.0,0.0,1.0
ACC0000066,2026-02,1,4.0,FIELD,1,192035.08,0,HIGH,CONSUMER,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000067,2026-02,1,9.0,VOICE,1,659407.78,1,MEDIUM,CONSUMER,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000068,2026-01,1,9.0,SMS,1,646783.15,0,LOW,CONSUMER,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000068,2026-04,1,2.0,VOICE,1,646783.15,0,LOW,CONSUMER,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000069,2026-02,1,10.0,FIELD,1,37141.89,120,NPA,PERSONAL,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000070,2026-01,1,8.0,WHATSAPP,1,516746.28,5,LOW,BNPL,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000070,2026-03,1,1.0,VOICE,1,516746.28,5,LOW,BNPL,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000073,2026-04,1,1.0,FIELD,1,187828.0,180,NPA,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000075,2026-06,1,3.0,FIELD,1,484217.05,60,LOW,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000076,2026-08,1,5.0,FIELD,1,299260.83,30,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000077,2026-03,1,4.0,SMS,1,394798.52,30,MEDIUM,BNPL,Asia/Dubai,ACTIVE,1.0,0.0,860.0,0.0,0.0
ACC0000077,2026-04,1,2.0,VOICE,1,394798.52,30,MEDIUM,BNPL,Asia/Dubai,ACTIVE,1.0,0.0,472.0,0.0,0.0
ACC0000078,2026-07,1,2.0,WHATSAPP,1,388156.65,45,NPA,CREDIT_CARD,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000079,2026-05,2,5.5,VOICE,2,696932.24,60,NPA,CONSUMER,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000080,2026-02,1,5.0,FIELD,1,468149.27,0,NPA,BNPL,UTC,PAID,0.0,0.0,0.0,0.0,
ACC0000080,2026-03,1,5.0,SMS,1,468149.27,0,NPA,BNPL,UTC,PAID,0.0,0.0,0.0,0.0,
ACC0000080,2026-04,1,7.0,FIELD,1,468149.27,0,NPA,BNPL,UTC,PAID,1.0,0.0,839.0,0.0,0.0
ACC0000081,2026-03,1,2.0,SMS,1,156190.22,5,MEDIUM,PERSONAL,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000081,2026-07,1,2.0,WHATSAPP,1,156190.22,5,MEDIUM,PERSONAL,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000082,2026-07,1,7.0,SMS,1,175812.11,5,NPA,CONSUMER,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000083,2026-02,1,6.0,WHATSAPP,1,95368.32,30,MEDIUM,BNPL,Asia/Dubai,ACTIVE,1.0,0.0,311.0,0.0,0.0
ACC0000083,2026-03,1,2.0,SMS,1,95368.32,30,MEDIUM,BNPL,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000083,2026-05,1,5.0,WHATSAPP,1,95368.32,30,MEDIUM,BNPL,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000084,2026-02,1,3.0,SMS,1,662717.34,120,HIGH,BNPL,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000084,2026-05,1,5.0,SMS,1,662717.34,120,HIGH,BNPL,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000086,2026-05,1,2.0,SMS,1,124807.97,15,LOW,CREDIT_CARD,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000087,2026-01,1,2.0,WHATSAPP,1,419043.04,90,MEDIUM,CONSUMER,Asia/Kolkata,PAID,1.0,0.0,416.0,0.0,0.0
ACC0000087,2026-04,1,5.0,VOICE,1,419043.04,90,MEDIUM,CONSUMER,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000087,2026-06,1,2.0,FIELD,1,419043.04,90,MEDIUM,CONSUMER,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000088,2026-02,1,4.0,SMS,1,620729.25,15,MEDIUM,CONSUMER,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000090,2026-02,1,6.0,VOICE,1,122162.41,30,LOW,AUTO,Asia/Dubai,PAID,1.0,0.0,257.0,0.0,0.0
ACC0000090,2026-07,1,10.0,VOICE,1,122162.41,30,LOW,AUTO,Asia/Dubai,PAID,1.0,0.0,323.0,1.0,0.0
ACC0000093,2026-02,1,8.0,SMS,1,540876.53,15,HIGH,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000094,2026-01,1,7.0,FIELD,1,639876.61,60,HIGH,CREDIT_CARD,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000094,2026-03,1,5.0,SMS,1,639876.61,60,HIGH,CREDIT_CARD,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000095,2026-03,1,6.0,VOICE,1,357400.09,75,HIGH,BNPL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000095,2026-07,1,8.0,VOICE,1,357400.09,75,HIGH,BNPL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000096,2026-02,1,3.0,WHATSAPP,1,567991.39,15,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000096,2026-04,1,8.0,FIELD,1,567991.39,15,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000096,2026-05,1,2.0,SMS,1,567991.39,15,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000096,2026-07,1,5.0,SMS,1,567991.39,15,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000096,2026-08,1,1.0,VOICE,1,567991.39,15,MEDIUM,PERSONAL,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000097,2026-01,1,8.0,SMS,1,687977.06,1,NPA,CONSUMER,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000097,2026-02,2,5.5,SMS,2,687977.06,1,NPA,CONSUMER,Asia/Dubai,ACTIVE,2.0,1.0,889.0,0.0,0.5
ACC0000097,2026-03,1,5.0,WHATSAPP,1,687977.06,1,NPA,CONSUMER,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000097,2026-06,1,7.0,SMS,1,687977.06,1,NPA,CONSUMER,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000099,2026-06,1,8.0,WHATSAPP,1,237164.9,45,LOW,CREDIT_CARD,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000099,2026-07,1,8.0,FIELD,1,237164.9,45,LOW,CREDIT_CARD,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000101,2026-01,1,3.0,WHATSAPP,1,388304.18,15,LOW,BNPL,Asia/Dubai,ACTIVE,1.0,0.0,119.0,0.0,0.0
ACC0000103,2026-07,1,2.0,SMS,1,355473.4,180,HIGH,AUTO,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000104,2026-02,1,2.0,FIELD,1,178643.43,0,HIGH,CONSUMER,UTC,CLOSED,2.0,1.0,789.0,0.0,0.5
ACC0000105,2026-04,1,4.0,FIELD,1,545375.05,90,NPA,AUTO,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000105,2026-06,1,1.0,VOICE,1,545375.05,90,NPA,AUTO,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000106,2026-06,1,1.0,VOICE,1,504662.53,90,NPA,BNPL,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000107,2026-03,1,5.0,FIELD,1,20538.52,0,LOW,AUTO,Asia/Dubai,ACTIVE,1.0,0.0,253.0,0.0,0.0
ACC0000109,2026-03,1,10.0,WHATSAPP,1,357553.08,0,HIGH,PERSONAL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000111,2026-05,1,9.0,FIELD,1,512264.37,5,MEDIUM,AUTO,Asia/Dubai,PAID,2.0,0.0,607.0,0.0,0.0
ACC0000112,2026-02,1,2.0,WHATSAPP,1,298252.93,90,NPA,AUTO,UTC,ACTIVE,0.0,0.0,0.0,2.0,
ACC0000114,2026-01,1,3.0,SMS,1,57859.1,75,MEDIUM,CREDIT_CARD,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000114,2026-06,1,7.0,WHATSAPP,1,57859.1,75,MEDIUM,CREDIT_CARD,Asia/Kolkata,WRITEOFF,2.0,0.0,960.0,0.0,0.0
ACC0000115,2026-02,1,5.0,FIELD,1,447187.05,60,HIGH,BNPL,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000115,2026-03,1,1.0,FIELD,1,447187.05,60,HIGH,BNPL,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000116,2026-03,2,5.0,FIELD,2,394440.34,75,HIGH,BNPL,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000117,2026-04,1,6.0,FIELD,1,677879.66,0,NPA,AUTO,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000117,2026-06,2,4.0,FIELD,2,677879.66,0,NPA,AUTO,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000118,2026-07,1,1.0,WHATSAPP,1,431931.92,30,HIGH,PERSONAL,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000120,2026-01,1,1.0,WHATSAPP,1,38663.97,45,NPA,BNPL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000120,2026-02,1,10.0,WHATSAPP,1,38663.97,45,NPA,BNPL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000120,2026-03,1,7.0,SMS,1,38663.97,45,NPA,BNPL,UTC,WRITEOFF,2.0,0.0,1541.0,0.0,0.0
ACC0000120,2026-05,1,9.0,VOICE,1,38663.97,45,NPA,BNPL,UTC,WRITEOFF,1.0,1.0,388.0,0.0,1.0
ACC0000122,2026-03,1,3.0,WHATSAPP,1,195292.63,5,HIGH,CONSUMER,UTC,CLOSED,2.0,0.0,730.0,0.0,0.0
ACC0000125,2026-02,1,2.0,SMS,1,97193.92,30,HIGH,AUTO,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000126,2026-07,2,6.0,FIELD,2,403375.06,180,HIGH,AUTO,UTC,ACTIVE,1.0,0.0,196.0,0.0,0.0
ACC0000127,2026-01,1,4.0,FIELD,1,292417.3,15,NPA,AUTO,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000127,2026-02,1,8.0,VOICE,1,292417.3,15,NPA,AUTO,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000127,2026-04,1,5.0,VOICE,1,292417.3,15,NPA,AUTO,UTC,CLOSED,1.0,0.0,86.0,0.0,0.0
ACC0000128,2026-01,1,10.0,SMS,1,96417.33,120,MEDIUM,BNPL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000129,2026-05,1,2.0,VOICE,1,189568.17,60,MEDIUM,CREDIT_CARD,Asia/Dubai,CLOSED,2.0,1.0,616.0,0.0,0.5
ACC0000129,2026-06,1,7.0,WHATSAPP,1,189568.17,60,MEDIUM,CREDIT_CARD,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000130,2026-01,2,7.0,VOICE,2,290814.12,30,MEDIUM,CREDIT_CARD,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000131,2026-03,1,2.0,SMS,1,51256.86,45,LOW,AUTO,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000131,2026-04,1,9.0,VOICE,1,51256.86,45,LOW,AUTO,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000131,2026-06,2,4.0,FIELD,2,51256.86,45,LOW,AUTO,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000132,2026-01,1,1.0,WHATSAPP,1,402131.29,120,NPA,BNPL,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000133,2026-03,2,7.0,WHATSAPP,2,456590.0,30,LOW,AUTO,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000133,2026-04,1,1.0,FIELD,1,456590.0,30,LOW,AUTO,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000134,2026-04,1,9.0,SMS,1,109040.47,45,MEDIUM,BNPL,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000135,2026-07,1,3.0,VOICE,1,552102.62,75,HIGH,PERSONAL,UTC,PAID,1.0,0.0,804.0,0.0,0.0
ACC0000136,2026-03,1,2.0,SMS,1,307912.15,45,MEDIUM,CONSUMER,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000136,2026-07,1,10.0,FIELD,1,307912.15,45,MEDIUM,CONSUMER,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000137,2026-07,1,7.0,VOICE,1,679487.48,60,MEDIUM,PERSONAL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,1.0,
ACC0000137,2026-08,1,4.0,WHATSAPP,1,679487.48,60,MEDIUM,PERSONAL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000139,2026-06,1,10.0,FIELD,1,151194.34,15,MEDIUM,CREDIT_CARD,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000140,2026-01,1,4.0,FIELD,1,693625.33,180,MEDIUM,CREDIT_CARD,UTC,ACTIVE,0.0,0.0,0.0,0.0,
